"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"10956","Bolivia (Plurinational State of)","2012","Total","Both Sexes","94","Census - de facto - complete tabulation","Final figure, complete","2014","1729",""
"10957","Bolivia (Plurinational State of)","2012","Total","Both Sexes","95","Census - de facto - complete tabulation","Final figure, complete","2014","1897",""
"10959","Bolivia (Plurinational State of)","2012","Total","Both Sexes","96","Census - de facto - complete tabulation","Final figure, complete","2014","1261",""
"10960","Bolivia (Plurinational State of)","2012","Total","Both Sexes","97","Census - de facto - complete tabulation","Final figure, complete","2014","1035",""
"95423","Bosnia and Herzegovina","2013","Total","Both Sexes","0","Census - de jure - complete tabulation","Final figure, complete","2015","32986",""
"95425","Bosnia and Herzegovina","2013","Total","Both Sexes","1","Census - de jure - complete tabulation","Final figure, complete","2015","34294",""
"95426","Bosnia and Herzegovina","2013","Total","Both Sexes","2","Census - de jure - complete tabulation","Final figure, complete","2015","34389",""
"95427","Bosnia and Herzegovina","2013","Total","Both Sexes","3","Census - de jure - complete tabulation","Final figure, complete","2015","35874",""
"95428","Bosnia and Herzegovina","2013","Total","Both Sexes","4","Census - de jure - complete tabulation","Final figure, complete","2015","36521",""
"95429","Bosnia and Herzegovina","2013","Total","Both Sexes","5","Census - de jure - complete tabulation","Final figure, complete","2015","36166",""
"95431","Bosnia and Herzegovina","2013","Total","Both Sexes","6","Census - de jure - complete tabulation","Final figure, complete","2015","34919",""
"95432","Bosnia and Herzegovina","2013","Total","Both Sexes","7","Census - de jure - complete tabulation","Final figure, complete","2015","34943",""
"95433","Bosnia and Herzegovina","2013","Total","Both Sexes","8","Census - de jure - complete tabulation","Final figure, complete","2015","35451",""
"95434","Bosnia and Herzegovina","2013","Total","Both Sexes","9","Census - de jure - complete tabulation","Final figure, complete","2015","35501",""
"95435","Bosnia and Herzegovina","2013","Total","Both Sexes","10","Census - de jure - complete tabulation","Final figure, complete","2015","36453",""
"95437","Bosnia and Herzegovina","2013","Total","Both Sexes","11","Census - de jure - complete tabulation","Final figure, complete","2015","36775",""
"95438","Bosnia and Herzegovina","2013","Total","Both Sexes","12","Census - de jure - complete tabulation","Final figure, complete","2015","38596",""
"95439","Bosnia and Herzegovina","2013","Total","Both Sexes","13","Census - de jure - complete tabulation","Final figure, complete","2015","39456",""
"95440","Bosnia and Herzegovina","2013","Total","Both Sexes","14","Census - de jure - complete tabulation","Final figure, complete","2015","41395",""
"95441","Bosnia and Herzegovina","2013","Total","Both Sexes","15","Census - de jure - complete tabulation","Final figure, complete","2015","45564",""
"95443","Bosnia and Herzegovina","2013","Total","Both Sexes","16","Census - de jure - complete tabulation","Final figure, complete","2015","52015",""
"95444","Bosnia and Herzegovina","2013","Total","Both Sexes","17","Census - de jure - complete tabulation","Final figure, complete","2015","51403",""
"95445","Bosnia and Herzegovina","2013","Total","Both Sexes","18","Census - de jure - complete tabulation","Final figure, complete","2015","50311",""
"95446","Bosnia and Herzegovina","2013","Total","Both Sexes","19","Census - de jure - complete tabulation","Final figure, complete","2015","43449",""
"95447","Bosnia and Herzegovina","2013","Total","Both Sexes","20","Census - de jure - complete tabulation","Final figure, complete","2015","38825",""
"95449","Bosnia and Herzegovina","2013","Total","Both Sexes","21","Census - de jure - complete tabulation","Final figure, complete","2015","44354",""
"95450","Bosnia and Herzegovina","2013","Total","Both Sexes","22","Census - de jure - complete tabulation","Final figure, complete","2015","48403",""
"95451","Bosnia and Herzegovina","2013","Total","Both Sexes","23","Census - de jure - complete tabulation","Final figure, complete","2015","48196",""
"95452","Bosnia and Herzegovina","2013","Total","Both Sexes","24","Census - de jure - complete tabulation","Final figure, complete","2015","48278",""
"95453","Bosnia and Herzegovina","2013","Total","Both Sexes","25","Census - de jure - complete tabulation","Final figure, complete","2015","50133",""
"95455","Bosnia and Herzegovina","2013","Total","Both Sexes","26","Census - de jure - complete tabulation","Final figure, complete","2015","49678",""
"95456","Bosnia and Herzegovina","2013","Total","Both Sexes","27","Census - de jure - complete tabulation","Final figure, complete","2015","49795",""
"95457","Bosnia and Herzegovina","2013","Total","Both Sexes","28","Census - de jure - complete tabulation","Final figure, complete","2015","50446",""
"95458","Bosnia and Herzegovina","2013","Total","Both Sexes","29","Census - de jure - complete tabulation","Final figure, complete","2015","52266",""
"95459","Bosnia and Herzegovina","2013","Total","Both Sexes","30","Census - de jure - complete tabulation","Final figure, complete","2015","50734",""
"95461","Bosnia and Herzegovina","2013","Total","Both Sexes","31","Census - de jure - complete tabulation","Final figure, complete","2015","50911",""
"95462","Bosnia and Herzegovina","2013","Total","Both Sexes","32","Census - de jure - complete tabulation","Final figure, complete","2015","50977",""
"95463","Bosnia and Herzegovina","2013","Total","Both Sexes","33","Census - de jure - complete tabulation","Final figure, complete","2015","50333",""
"95464","Bosnia and Herzegovina","2013","Total","Both Sexes","34","Census - de jure - complete tabulation","Final figure, complete","2015","49678",""
"95465","Bosnia and Herzegovina","2013","Total","Both Sexes","35","Census - de jure - complete tabulation","Final figure, complete","2015","49788",""
"95467","Bosnia and Herzegovina","2013","Total","Both Sexes","36","Census - de jure - complete tabulation","Final figure, complete","2015","49919",""
"95468","Bosnia and Herzegovina","2013","Total","Both Sexes","37","Census - de jure - complete tabulation","Final figure, complete","2015","51327",""
"95469","Bosnia and Herzegovina","2013","Total","Both Sexes","38","Census - de jure - complete tabulation","Final figure, complete","2015","49496",""
"95470","Bosnia and Herzegovina","2013","Total","Both Sexes","39","Census - de jure - complete tabulation","Final figure, complete","2015","48736",""
"95471","Bosnia and Herzegovina","2013","Total","Both Sexes","40","Census - de jure - complete tabulation","Final figure, complete","2015","48218",""
"95473","Bosnia and Herzegovina","2013","Total","Both Sexes","41","Census - de jure - complete tabulation","Final figure, complete","2015","49740",""
"95474","Bosnia and Herzegovina","2013","Total","Both Sexes","42","Census - de jure - complete tabulation","Final figure, complete","2015","48136",""
"95475","Bosnia and Herzegovina","2013","Total","Both Sexes","43","Census - de jure - complete tabulation","Final figure, complete","2015","46015",""
"95476","Bosnia and Herzegovina","2013","Total","Both Sexes","44","Census - de jure - complete tabulation","Final figure, complete","2015","49029",""
"95477","Bosnia and Herzegovina","2013","Total","Both Sexes","45","Census - de jure - complete tabulation","Final figure, complete","2015","49671",""
"95479","Bosnia and Herzegovina","2013","Total","Both Sexes","46","Census - de jure - complete tabulation","Final figure, complete","2015","51673",""
"95480","Bosnia and Herzegovina","2013","Total","Both Sexes","47","Census - de jure - complete tabulation","Final figure, complete","2015","52770",""
"95481","Bosnia and Herzegovina","2013","Total","Both Sexes","48","Census - de jure - complete tabulation","Final figure, complete","2015","53700",""
"95482","Bosnia and Herzegovina","2013","Total","Both Sexes","49","Census - de jure - complete tabulation","Final figure, complete","2015","53114",""
"95483","Bosnia and Herzegovina","2013","Total","Both Sexes","50","Census - de jure - complete tabulation","Final figure, complete","2015","53786",""
"95485","Bosnia and Herzegovina","2013","Total","Both Sexes","51","Census - de jure - complete tabulation","Final figure, complete","2015","56129",""
"95486","Bosnia and Herzegovina","2013","Total","Both Sexes","52","Census - de jure - complete tabulation","Final figure, complete","2015","55588",""
"95487","Bosnia and Herzegovina","2013","Total","Both Sexes","53","Census - de jure - complete tabulation","Final figure, complete","2015","55076",""
"95488","Bosnia and Herzegovina","2013","Total","Both Sexes","54","Census - de jure - complete tabulation","Final figure, complete","2015","55996",""
"95489","Bosnia and Herzegovina","2013","Total","Both Sexes","55","Census - de jure - complete tabulation","Final figure, complete","2015","52589",""
"95491","Bosnia and Herzegovina","2013","Total","Both Sexes","56","Census - de jure - complete tabulation","Final figure, complete","2015","50347",""
"95492","Bosnia and Herzegovina","2013","Total","Both Sexes","57","Census - de jure - complete tabulation","Final figure, complete","2015","51932",""
"95493","Bosnia and Herzegovina","2013","Total","Both Sexes","58","Census - de jure - complete tabulation","Final figure, complete","2015","52746",""
"95494","Bosnia and Herzegovina","2013","Total","Both Sexes","59","Census - de jure - complete tabulation","Final figure, complete","2015","50923",""
"95495","Bosnia and Herzegovina","2013","Total","Both Sexes","60","Census - de jure - complete tabulation","Final figure, complete","2015","50837",""
"95497","Bosnia and Herzegovina","2013","Total","Both Sexes","61","Census - de jure - complete tabulation","Final figure, complete","2015","46677",""
"95498","Bosnia and Herzegovina","2013","Total","Both Sexes","62","Census - de jure - complete tabulation","Final figure, complete","2015","42331",""
"95499","Bosnia and Herzegovina","2013","Total","Both Sexes","63","Census - de jure - complete tabulation","Final figure, complete","2015","42570",""
"95500","Bosnia and Herzegovina","2013","Total","Both Sexes","64","Census - de jure - complete tabulation","Final figure, complete","2015","40836",""
"95501","Bosnia and Herzegovina","2013","Total","Both Sexes","65","Census - de jure - complete tabulation","Final figure, complete","2015","35793",""
"95503","Bosnia and Herzegovina","2013","Total","Both Sexes","66","Census - de jure - complete tabulation","Final figure, complete","2015","37788",""
"95504","Bosnia and Herzegovina","2013","Total","Both Sexes","67","Census - de jure - complete tabulation","Final figure, complete","2015","29180",""
"95505","Bosnia and Herzegovina","2013","Total","Both Sexes","68","Census - de jure - complete tabulation","Final figure, complete","2015","25744",""
"95506","Bosnia and Herzegovina","2013","Total","Both Sexes","69","Census - de jure - complete tabulation","Final figure, complete","2015","25064",""
"95507","Bosnia and Herzegovina","2013","Total","Both Sexes","70","Census - de jure - complete tabulation","Final figure, complete","2015","25058",""
"95509","Bosnia and Herzegovina","2013","Total","Both Sexes","71","Census - de jure - complete tabulation","Final figure, complete","2015","26990",""
"95510","Bosnia and Herzegovina","2013","Total","Both Sexes","72","Census - de jure - complete tabulation","Final figure, complete","2015","29327",""
"95511","Bosnia and Herzegovina","2013","Total","Both Sexes","73","Census - de jure - complete tabulation","Final figure, complete","2015","30776",""
"95512","Bosnia and Herzegovina","2013","Total","Both Sexes","74","Census - de jure - complete tabulation","Final figure, complete","2015","28304",""
"95513","Bosnia and Herzegovina","2013","Total","Both Sexes","75","Census - de jure - complete tabulation","Final figure, complete","2015","27309",""
"95515","Bosnia and Herzegovina","2013","Total","Both Sexes","76","Census - de jure - complete tabulation","Final figure, complete","2015","25413",""
"95516","Bosnia and Herzegovina","2013","Total","Both Sexes","77","Census - de jure - complete tabulation","Final figure, complete","2015","23950",""
"95517","Bosnia and Herzegovina","2013","Total","Both Sexes","78","Census - de jure - complete tabulation","Final figure, complete","2015","21232",""
"95518","Bosnia and Herzegovina","2013","Total","Both Sexes","79","Census - de jure - complete tabulation","Final figure, complete","2015","19363",""
"95519","Bosnia and Herzegovina","2013","Total","Both Sexes","80","Census - de jure - complete tabulation","Final figure, complete","2015","16231",""
"95521","Bosnia and Herzegovina","2013","Total","Both Sexes","81","Census - de jure - complete tabulation","Final figure, complete","2015","14741",""
"95522","Bosnia and Herzegovina","2013","Total","Both Sexes","82","Census - de jure - complete tabulation","Final figure, complete","2015","12059",""
"95523","Bosnia and Herzegovina","2013","Total","Both Sexes","83","Census - de jure - complete tabulation","Final figure, complete","2015","10999",""
"95524","Bosnia and Herzegovina","2013","Total","Both Sexes","84","Census - de jure - complete tabulation","Final figure, complete","2015","8606",""
"11025","Botswana","2011","Total","Both Sexes","0","Census - de facto - complete tabulation","Final figure, complete","2015","55326",""
"11027","Botswana","2011","Total","Both Sexes","1","Census - de facto - complete tabulation","Final figure, complete","2015","45792",""
"11028","Botswana","2011","Total","Both Sexes","2","Census - de facto - complete tabulation","Final figure, complete","2015","45280",""
"11029","Botswana","2011","Total","Both Sexes","3","Census - de facto - complete tabulation","Final figure, complete","2015","45386",""
"11030","Botswana","2011","Total","Both Sexes","4","Census - de facto - complete tabulation","Final figure, complete","2015","45530",""
"11031","Botswana","2011","Total","Both Sexes","5","Census - de facto - complete tabulation","Final figure, complete","2015","46718",""
"11033","Botswana","2011","Total","Both Sexes","6","Census - de facto - complete tabulation","Final figure, complete","2015","43238",""
"11034","Botswana","2011","Total","Both Sexes","7","Census - de facto - complete tabulation","Final figure, complete","2015","43124",""
"11035","Botswana","2011","Total","Both Sexes","8","Census - de facto - complete tabulation","Final figure, complete","2015","41755",""
"11036","Botswana","2011","Total","Both Sexes","9","Census - de facto - complete tabulation","Final figure, complete","2015","40327",""
"11037","Botswana","2011","Total","Both Sexes","10","Census - de facto - complete tabulation","Final figure, complete","2015","42762",""
"11039","Botswana","2011","Total","Both Sexes","11","Census - de facto - complete tabulation","Final figure, complete","2015","44594",""
"11040","Botswana","2011","Total","Both Sexes","12","Census - de facto - complete tabulation","Final figure, complete","2015","39873",""
"11041","Botswana","2011","Total","Both Sexes","13","Census - de facto - complete tabulation","Final figure, complete","2015","40310",""
"11042","Botswana","2011","Total","Both Sexes","14","Census - de facto - complete tabulation","Final figure, complete","2015","39755",""
"11043","Botswana","2011","Total","Both Sexes","15","Census - de facto - complete tabulation","Final figure, complete","2015","42885",""
"11045","Botswana","2011","Total","Both Sexes","16","Census - de facto - complete tabulation","Final figure, complete","2015","43137",""
"11046","Botswana","2011","Total","Both Sexes","17","Census - de facto - complete tabulation","Final figure, complete","2015","42452",""
"11047","Botswana","2011","Total","Both Sexes","18","Census - de facto - complete tabulation","Final figure, complete","2015","40741",""
"11048","Botswana","2011","Total","Both Sexes","19","Census - de facto - complete tabulation","Final figure, complete","2015","41531",""
"11049","Botswana","2011","Total","Both Sexes","20","Census - de facto - complete tabulation","Final figure, complete","2015","40982",""
"11051","Botswana","2011","Total","Both Sexes","21","Census - de facto - complete tabulation","Final figure, complete","2015","40604",""
"11052","Botswana","2011","Total","Both Sexes","22","Census - de facto - complete tabulation","Final figure, complete","2015","39353",""
"11053","Botswana","2011","Total","Both Sexes","23","Census - de facto - complete tabulation","Final figure, complete","2015","40477",""
"11054","Botswana","2011","Total","Both Sexes","24","Census - de facto - complete tabulation","Final figure, complete","2015","38934",""
"11055","Botswana","2011","Total","Both Sexes","25","Census - de facto - complete tabulation","Final figure, complete","2015","41359",""
"11057","Botswana","2011","Total","Both Sexes","26","Census - de facto - complete tabulation","Final figure, complete","2015","41473",""
"11058","Botswana","2011","Total","Both Sexes","27","Census - de facto - complete tabulation","Final figure, complete","2015","41920",""
"11059","Botswana","2011","Total","Both Sexes","28","Census - de facto - complete tabulation","Final figure, complete","2015","41679",""
"11060","Botswana","2011","Total","Both Sexes","29","Census - de facto - complete tabulation","Final figure, complete","2015","41421",""
"11061","Botswana","2011","Total","Both Sexes","30","Census - de facto - complete tabulation","Final figure, complete","2015","39957",""
"11063","Botswana","2011","Total","Both Sexes","31","Census - de facto - complete tabulation","Final figure, complete","2015","35115",""
"11064","Botswana","2011","Total","Both Sexes","32","Census - de facto - complete tabulation","Final figure, complete","2015","35548",""
"11065","Botswana","2011","Total","Both Sexes","33","Census - de facto - complete tabulation","Final figure, complete","2015","29190",""
"11066","Botswana","2011","Total","Both Sexes","34","Census - de facto - complete tabulation","Final figure, complete","2015","30732",""
"11067","Botswana","2011","Total","Both Sexes","35","Census - de facto - complete tabulation","Final figure, complete","2015","31943",""
"11069","Botswana","2011","Total","Both Sexes","36","Census - de facto - complete tabulation","Final figure, complete","2015","29164",""
"11070","Botswana","2011","Total","Both Sexes","37","Census - de facto - complete tabulation","Final figure, complete","2015","25880",""
"11071","Botswana","2011","Total","Both Sexes","38","Census - de facto - complete tabulation","Final figure, complete","2015","23858",""
"11072","Botswana","2011","Total","Both Sexes","39","Census - de facto - complete tabulation","Final figure, complete","2015","24374",""
"11073","Botswana","2011","Total","Both Sexes","40","Census - de facto - complete tabulation","Final figure, complete","2015","21102",""
"11075","Botswana","2011","Total","Both Sexes","41","Census - de facto - complete tabulation","Final figure, complete","2015","21491",""
"11076","Botswana","2011","Total","Both Sexes","42","Census - de facto - complete tabulation","Final figure, complete","2015","20812",""
"11077","Botswana","2011","Total","Both Sexes","43","Census - de facto - complete tabulation","Final figure, complete","2015","19812",""
"11078","Botswana","2011","Total","Both Sexes","44","Census - de facto - complete tabulation","Final figure, complete","2015","16080",""
"11079","Botswana","2011","Total","Both Sexes","45","Census - de facto - complete tabulation","Final figure, complete","2015","18501",""
"11081","Botswana","2011","Total","Both Sexes","46","Census - de facto - complete tabulation","Final figure, complete","2015","15535",""
"11082","Botswana","2011","Total","Both Sexes","47","Census - de facto - complete tabulation","Final figure, complete","2015","16402",""
"11083","Botswana","2011","Total","Both Sexes","48","Census - de facto - complete tabulation","Final figure, complete","2015","15452",""
"11084","Botswana","2011","Total","Both Sexes","49","Census - de facto - complete tabulation","Final figure, complete","2015","16371",""
"11085","Botswana","2011","Total","Both Sexes","50","Census - de facto - complete tabulation","Final figure, complete","2015","13465",""
"11087","Botswana","2011","Total","Both Sexes","51","Census - de facto - complete tabulation","Final figure, complete","2015","13451",""
"11088","Botswana","2011","Total","Both Sexes","52","Census - de facto - complete tabulation","Final figure, complete","2015","13893",""
"11089","Botswana","2011","Total","Both Sexes","53","Census - de facto - complete tabulation","Final figure, complete","2015","13269",""
"11090","Botswana","2011","Total","Both Sexes","54","Census - de facto - complete tabulation","Final figure, complete","2015","12284",""
"11091","Botswana","2011","Total","Both Sexes","55","Census - de facto - complete tabulation","Final figure, complete","2015","11530",""
"11093","Botswana","2011","Total","Both Sexes","56","Census - de facto - complete tabulation","Final figure, complete","2015","11235",""
"11094","Botswana","2011","Total","Both Sexes","57","Census - de facto - complete tabulation","Final figure, complete","2015","10422",""
"11095","Botswana","2011","Total","Both Sexes","58","Census - de facto - complete tabulation","Final figure, complete","2015","10301",""
"11096","Botswana","2011","Total","Both Sexes","59","Census - de facto - complete tabulation","Final figure, complete","2015","10561",""
"11097","Botswana","2011","Total","Both Sexes","60","Census - de facto - complete tabulation","Final figure, complete","2015","7116",""
"11099","Botswana","2011","Total","Both Sexes","61","Census - de facto - complete tabulation","Final figure, complete","2015","7874",""
"11100","Botswana","2011","Total","Both Sexes","62","Census - de facto - complete tabulation","Final figure, complete","2015","7296",""
"11101","Botswana","2011","Total","Both Sexes","63","Census - de facto - complete tabulation","Final figure, complete","2015","7489",""
"11102","Botswana","2011","Total","Both Sexes","64","Census - de facto - complete tabulation","Final figure, complete","2015","7809",""
"11103","Botswana","2011","Total","Both Sexes","65","Census - de facto - complete tabulation","Final figure, complete","2015","6627",""
"11105","Botswana","2011","Total","Both Sexes","66","Census - de facto - complete tabulation","Final figure, complete","2015","5847",""
"11106","Botswana","2011","Total","Both Sexes","67","Census - de facto - complete tabulation","Final figure, complete","2015","4995",""
"11107","Botswana","2011","Total","Both Sexes","68","Census - de facto - complete tabulation","Final figure, complete","2015","4611",""
"11108","Botswana","2011","Total","Both Sexes","69","Census - de facto - complete tabulation","Final figure, complete","2015","5667",""
"11109","Botswana","2011","Total","Both Sexes","70","Census - de facto - complete tabulation","Final figure, complete","2015","5526",""
"11111","Botswana","2011","Total","Both Sexes","71","Census - de facto - complete tabulation","Final figure, complete","2015","5756",""
"11112","Botswana","2011","Total","Both Sexes","72","Census - de facto - complete tabulation","Final figure, complete","2015","4113",""
"11113","Botswana","2011","Total","Both Sexes","73","Census - de facto - complete tabulation","Final figure, complete","2015","3411",""
"11114","Botswana","2011","Total","Both Sexes","74","Census - de facto - complete tabulation","Final figure, complete","2015","3455",""
"11115","Botswana","2011","Total","Both Sexes","75","Census - de facto - complete tabulation","Final figure, complete","2015","3633",""
"11117","Botswana","2011","Total","Both Sexes","76","Census - de facto - complete tabulation","Final figure, complete","2015","3627",""
"11118","Botswana","2011","Total","Both Sexes","77","Census - de facto - complete tabulation","Final figure, complete","2015","2669",""
"11119","Botswana","2011","Total","Both Sexes","78","Census - de facto - complete tabulation","Final figure, complete","2015","4093",""
"11120","Botswana","2011","Total","Both Sexes","79","Census - de facto - complete tabulation","Final figure, complete","2015","3870",""
"11121","Botswana","2011","Total","Both Sexes","80","Census - de facto - complete tabulation","Final figure, complete","2015","2831",""
"11123","Botswana","2011","Total","Both Sexes","81","Census - de facto - complete tabulation","Final figure, complete","2015","3631",""
"11124","Botswana","2011","Total","Both Sexes","82","Census - de facto - complete tabulation","Final figure, complete","2015","2123",""
"11125","Botswana","2011","Total","Both Sexes","83","Census - de facto - complete tabulation","Final figure, complete","2015","2724",""
"11126","Botswana","2011","Total","Both Sexes","84","Census - de facto - complete tabulation","Final figure, complete","2015","1910",""
"11127","Botswana","2011","Total","Both Sexes","85","Census - de facto - complete tabulation","Final figure, complete","2015","1672",""
"11129","Botswana","2011","Total","Both Sexes","86","Census - de facto - complete tabulation","Final figure, complete","2015","2689",""
"11130","Botswana","2011","Total","Both Sexes","87","Census - de facto - complete tabulation","Final figure, complete","2015","1428",""
"11131","Botswana","2011","Total","Both Sexes","88","Census - de facto - complete tabulation","Final figure, complete","2015","1237",""
"11132","Botswana","2011","Total","Both Sexes","89","Census - de facto - complete tabulation","Final figure, complete","2015","1221",""
"11133","Botswana","2011","Total","Both Sexes","90","Census - de facto - complete tabulation","Final figure, complete","2015","1158",""
"11135","Botswana","2011","Total","Both Sexes","91","Census - de facto - complete tabulation","Final figure, complete","2015","1149",""
"11136","Botswana","2011","Total","Both Sexes","92","Census - de facto - complete tabulation","Final figure, complete","2015","632",""
"11137","Botswana","2011","Total","Both Sexes","93","Census - de facto - complete tabulation","Final figure, complete","2015","741",""
"11138","Botswana","2011","Total","Both Sexes","94","Census - de facto - complete tabulation","Final figure, complete","2015","241",""
"11141","Brazil","2010","Total","Both Sexes","0","Census - de jure - complete tabulation","Final figure, complete","2011","2713244",""
"11143","Brazil","2010","Total","Both Sexes","1","Census - de jure - complete tabulation","Final figure, complete","2011","2694909",""
"11145","Brazil","2010","Total","Both Sexes","2","Census - de jure - complete tabulation","Final figure, complete","2011","2726957",""
"11146","Brazil","2010","Total","Both Sexes","3","Census - de jure - complete tabulation","Final figure, complete","2011","2790782",""
"11147","Brazil","2010","Total","Both Sexes","4","Census - de jure - complete tabulation","Final figure, complete","2011","2870266",""
"11148","Brazil","2010","Total","Both Sexes","5","Census - de jure - complete tabulation","Final figure, complete","2011","2931988",""
"11150","Brazil","2010","Total","Both Sexes","6","Census - de jure - complete tabulation","Final figure, complete","2011","2894419",""
"11151","Brazil","2010","Total","Both Sexes","7","Census - de jure - complete tabulation","Final figure, complete","2011","2959192",""
"11152","Brazil","2010","Total","Both Sexes","8","Census - de jure - complete tabulation","Final figure, complete","2011","2995612",""
"11153","Brazil","2010","Total","Both Sexes","9","Census - de jure - complete tabulation","Final figure, complete","2011","3188164",""
"11154","Brazil","2010","Total","Both Sexes","10","Census - de jure - complete tabulation","Final figure, complete","2011","3505216",""
"11156","Brazil","2010","Total","Both Sexes","11","Census - de jure - complete tabulation","Final figure, complete","2011","3352844",""
"11157","Brazil","2010","Total","Both Sexes","12","Census - de jure - complete tabulation","Final figure, complete","2011","3402242",""
"11158","Brazil","2010","Total","Both Sexes","13","Census - de jure - complete tabulation","Final figure, complete","2011","3412748",""
"11159","Brazil","2010","Total","Both Sexes","14","Census - de jure - complete tabulation","Final figure, complete","2011","3493711",""
"11160","Brazil","2010","Total","Both Sexes","15","Census - de jure - complete tabulation","Final figure, complete","2011","3574929",""
"11162","Brazil","2010","Total","Both Sexes","16","Census - de jure - complete tabulation","Final figure, complete","2011","3410704",""
"11163","Brazil","2010","Total","Both Sexes","17","Census - de jure - complete tabulation","Final figure, complete","2011","3372241",""
"11164","Brazil","2010","Total","Both Sexes","18","Census - de jure - complete tabulation","Final figure, complete","2011","3367172",""
"11165","Brazil","2010","Total","Both Sexes","19","Census - de jure - complete tabulation","Final figure, complete","2011","3265826",""
"11166","Brazil","2010","Total","Both Sexes","20","Census - de jure - complete tabulation","Final figure, complete","2011","3389729",""
"11168","Brazil","2010","Total","Both Sexes","21","Census - de jure - complete tabulation","Final figure, complete","2011","3421736",""
"11169","Brazil","2010","Total","Both Sexes","22","Census - de jure - complete tabulation","Final figure, complete","2011","3510497",""
"11170","Brazil","2010","Total","Both Sexes","23","Census - de jure - complete tabulation","Final figure, complete","2011","3420254",""
"11171","Brazil","2010","Total","Both Sexes","24","Census - de jure - complete tabulation","Final figure, complete","2011","3502976",""
"11172","Brazil","2010","Total","Both Sexes","25","Census - de jure - complete tabulation","Final figure, complete","2011","3455045",""
"11174","Brazil","2010","Total","Both Sexes","26","Census - de jure - complete tabulation","Final figure, complete","2011","3298218",""
"11175","Brazil","2010","Total","Both Sexes","27","Census - de jure - complete tabulation","Final figure, complete","2011","3467072",""
"11176","Brazil","2010","Total","Both Sexes","28","Census - de jure - complete tabulation","Final figure, complete","2011","3515646",""
"11177","Brazil","2010","Total","Both Sexes","29","Census - de jure - complete tabulation","Final figure, complete","2011","3368433",""
"11178","Brazil","2010","Total","Both Sexes","30","Census - de jure - complete tabulation","Final figure, complete","2011","3548802",""
"11180","Brazil","2010","Total","Both Sexes","31","Census - de jure - complete tabulation","Final figure, complete","2011","3128244",""
"11181","Brazil","2010","Total","Both Sexes","32","Census - de jure - complete tabulation","Final figure, complete","2011","3165646",""
"11182","Brazil","2010","Total","Both Sexes","33","Census - de jure - complete tabulation","Final figure, complete","2011","2982696",""
"11183","Brazil","2010","Total","Both Sexes","34","Census - de jure - complete tabulation","Final figure, complete","2011","2919124",""
"11184","Brazil","2010","Total","Both Sexes","35","Census - de jure - complete tabulation","Final figure, complete","2011","2990924",""
"11186","Brazil","2010","Total","Both Sexes","36","Census - de jure - complete tabulation","Final figure, complete","2011","2763213",""
"11187","Brazil","2010","Total","Both Sexes","37","Census - de jure - complete tabulation","Final figure, complete","2011","2740185",""
"11188","Brazil","2010","Total","Both Sexes","38","Census - de jure - complete tabulation","Final figure, complete","2011","2712447",""
"11189","Brazil","2010","Total","Both Sexes","39","Census - de jure - complete tabulation","Final figure, complete","2011","2681810",""
"11190","Brazil","2010","Total","Both Sexes","40","Census - de jure - complete tabulation","Final figure, complete","2011","2880375",""
"11192","Brazil","2010","Total","Both Sexes","41","Census - de jure - complete tabulation","Final figure, complete","2011","2551532",""
"11193","Brazil","2010","Total","Both Sexes","42","Census - de jure - complete tabulation","Final figure, complete","2011","2623948",""
"11194","Brazil","2010","Total","Both Sexes","43","Census - de jure - complete tabulation","Final figure, complete","2011","2450558",""
"11195","Brazil","2010","Total","Both Sexes","44","Census - de jure - complete tabulation","Final figure, complete","2011","2502951",""
"11196","Brazil","2010","Total","Both Sexes","45","Census - de jure - complete tabulation","Final figure, complete","2011","2590374",""
"11198","Brazil","2010","Total","Both Sexes","46","Census - de jure - complete tabulation","Final figure, complete","2011","2451471",""
"11199","Brazil","2010","Total","Both Sexes","47","Census - de jure - complete tabulation","Final figure, complete","2011","2360274",""
"11200","Brazil","2010","Total","Both Sexes","48","Census - de jure - complete tabulation","Final figure, complete","2011","2243495",""
"11201","Brazil","2010","Total","Both Sexes","49","Census - de jure - complete tabulation","Final figure, complete","2011","2187738",""
"11202","Brazil","2010","Total","Both Sexes","50","Census - de jure - complete tabulation","Final figure, complete","2011","2297566",""
"11204","Brazil","2010","Total","Both Sexes","51","Census - de jure - complete tabulation","Final figure, complete","2011","1992141",""
"11205","Brazil","2010","Total","Both Sexes","52","Census - de jure - complete tabulation","Final figure, complete","2011","2057233",""
"11206","Brazil","2010","Total","Both Sexes","53","Census - de jure - complete tabulation","Final figure, complete","2011","1909856",""
"11207","Brazil","2010","Total","Both Sexes","54","Census - de jure - complete tabulation","Final figure, complete","2011","1883606",""
"11208","Brazil","2010","Total","Both Sexes","55","Census - de jure - complete tabulation","Final figure, complete","2011","1858999",""
"11210","Brazil","2010","Total","Both Sexes","56","Census - de jure - complete tabulation","Final figure, complete","2011","1750252",""
"11211","Brazil","2010","Total","Both Sexes","57","Census - de jure - complete tabulation","Final figure, complete","2011","1597682",""
"11212","Brazil","2010","Total","Both Sexes","58","Census - de jure - complete tabulation","Final figure, complete","2011","1573915",""
"11213","Brazil","2010","Total","Both Sexes","59","Census - de jure - complete tabulation","Final figure, complete","2011","1495373",""
